setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
B,SPECTRE,15,500,0.779768334186894,0.8807692307692309,0.8660465364628177,0.011538461538461539,0
B,SPECTRE,15,550,0.9085763902901007,0.9530064754856614,0.9510425782988305,0.00851063829787234,0
B,SPECTRE,15,600,0.8943079308499362,0.944889663182346,0.9417278866872362,0.009523809523809523,0
B,SPECTRE,15,650,0.9642914669112759,0.9820512820512821,0.9818847818847818,0.010256410256410256,0
B,SPECTRE,15,700,0.9520599951067371,0.9752252252252251,0.9749318908620808,0.01096096096096096,0
B,SPECTRE,15,750,0.9652591090565281,0.9820855614973262,0.9818922924901186,0.011764705882352941,0
B,SPECTRE,15,800,0.974697554407145,0.9872983870967742,0.9873015873015873,0.012701612903225806,0
B,SPECTRE,15,850,0.9863218048917212,0.993103448275862,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,15,900,0.9863218048917212,0.993103448275862,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,15,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,15,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,20,50,0.7452039690043769,0.8598076923076924,0.838825860318984,0.01,0
B,SPECTRE,20,100,0.7739776504376374,0.8773076923076923,0.8617802725655667,0.009230769230769232,0
B,SPECTRE,20,150,0.8293802141784246,0.909094927240582,0.9009274562269198,0.009322725418196653,0
B,SPECTRE,20,200,0.8414943115490953,0.9161538461538463,0.9094702511382853,0.01076923076923077,0
B,SPECTRE,20,250,0.8594069291908963,0.9259615384615385,0.9207399982570414,0.009615384615384616,0
B,SPECTRE,20,300,0.9276076573826503,0.962749658002736,0.9612867847251435,0.009302325581395349,0
B,SPECTRE,20,350,0.9514035068038297,0.975285388127854,0.9749461077993022,0.010958904109589041,0
B,SPECTRE,20,400,0.9338473657367962,0.9661538461538463,0.9655467664037524,0.009230769230769232,0
B,SPECTRE,20,450,0.955174155013139,0.9772534785238959,0.9769229329367844,0.010526315789473684,0
B,SPECTRE,20,500,0.9279954037871189,0.9634615384615385,0.9629777751486873,0.011538461538461539,0
B,SPECTRE,20,550,0.9537668999642716,0.9765957446808511,0.9760142615682588,0.00851063829787234,0
B,SPECTRE,20,600,0.9475942392029951,0.9736353077816492,0.9731965414892244,0.009523809523809523,0
B,SPECTRE,20,650,0.9744230663833587,0.9871794871794872,0.9871461871461872,0.010256410256410256,0
B,SPECTRE,20,700,0.9520599951067371,0.9752252252252251,0.9749318908620808,0.01096096096096096,0
B,SPECTRE,20,750,0.9650166886265807,0.982174688057041,0.9821557971014492,0.011764705882352941,0
B,SPECTRE,20,800,0.980947554407145,0.9904233870967742,0.990373783922171,0.0125,0
B,SPECTRE,20,850,0.9861985395798989,0.9929802955665025,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,20,900,0.9866513050514765,0.993103448275862,0.9933333333333334,0.013793103448275862,0
B,SPECTRE,20,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,20,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,30,50,0.886046548508399,0.9409615384615385,0.9379704852366594,0.009615384615384616,0
B,SPECTRE,30,100,0.9151790778285769,0.9565384615384616,0.9550147056401208,0.009230769230769232,0
B,SPECTRE,30,150,0.9391746169604325,0.9690976472188222,0.9683888673684093,0.010478716170270639,0
B,SPECTRE,30,200,0.9394977183251669,0.9692307692307693,0.9685238870381587,0.01076923076923077,0
B,SPECTRE,30,250,0.9432883524677701,0.9711538461538461,0.9704686721452107,0.009615384615384616,0
B,SPECTRE,30,300,0.9379542750749337,0.968563611491108,0.9678559142955427,0.0093296853625171,0
B,SPECTRE,30,350,0.9514271689862126,0.9752663622526636,0.9750448116804249,0.010958904109589041,0
B,SPECTRE,30,400,0.9545802449055619,0.976923076923077,0.9765911718421562,0.009230769230769232,0
B,SPECTRE,30,450,0.9552524504467403,0.977223230490018,0.9770999861317404,0.010465819721718088,0
B,SPECTRE,30,500,0.9886402169986445,0.9942307692307694,0.9943216531895777,0.011538461538461539,0
B,SPECTRE,30,550,0.9790223278922146,0.9892691951896392,0.989516129032258,0.00851063829787234,0
B,SPECTRE,30,600,0.9717556085989759,0.9857142857142858,0.9856515113203808,0.009639953542392566,0
B,SPECTRE,30,650,0.9849294683025251,0.9923076923076923,0.9924683544303796,0.010256410256410256,0
B,SPECTRE,30,700,0.9891851829487681,0.9945195195195196,0.994593607305936,0.01096096096096096,1
B,SPECTRE,30,750,0.9830669645608227,0.9911764705882353,0.9915492957746478,0.011942959001782532,0
B,SPECTRE,30,800,0.9817477869590607,0.9903225806451612,0.991044776119403,0.012903225806451613,0
B,SPECTRE,30,850,0.9862068965517242,0.993103448275862,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,30,900,0.9866513050514765,0.993103448275862,0.9933333333333334,0.013793103448275862,0
