setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core3 (Socket 0).11_C0res%,Core3 (Socket 0).12_C1res%,-0.5790604397433428,0.5790604397433428,1.0,0.5790604397433428,stable_rank_precision
A,Core3 (Socket 0).11_C0res%,Core3 (Socket 0).2_FREQ,0.2723798773153964,0.2723798773153964,1.0,0.2723798773153964,stable_rank_precision
A,Core3 (Socket 0).11_C0res%,SKT0 Core C-State_C0res%,0.12835074480154798,0.12835074480154798,1.0,0.12835074480154798,stable_rank_precision
A,Core3 (Socket 0).11_C0res%,System Core C-States_C0res%,0.12835074480154823,0.12835074480154823,1.0,0.12835074480154823,stable_rank_precision
A,Core3 (Socket 0).12_C1res%,Core3 (Socket 0).14_C6res%,-0.13523495450297446,0.13523495450297446,1.0,0.13523495450297446,stable_rank_precision
A,Core3 (Socket 0).12_C1res%,Core3 (Socket 0).15_C7res%,-0.12497994603147274,0.12497994603147274,0.875,0.10935745277753864,stable_rank_precision
A,Core3 (Socket 0).12_C1res%,Core3 (Socket 0).18_ACYC,-0.13482307412200825,0.13482307412200825,1.0,0.13482307412200825,stable_rank_precision
A,Core3 (Socket 0).12_C1res%,Core3 (Socket 0).2_FREQ,-0.19953587094553518,0.19953587094553518,1.0,0.19953587094553518,stable_rank_precision
A,Core3 (Socket 0).14_C6res%,Core3 (Socket 0).15_C7res%,-0.18899866622592548,0.18899866622592548,1.0,0.18899866622592548,stable_rank_precision
A,Core3 (Socket 0).14_C6res%,Core3 (Socket 0).2_FREQ,-0.1317766533431138,0.1317766533431138,1.0,0.1317766533431138,stable_rank_precision
A,Core3 (Socket 0).14_C6res%,SKT0 Core C-State.3_C6res%,0.20990479024673822,0.20990479024673822,1.0,0.20990479024673822,stable_rank_precision
A,Core3 (Socket 0).14_C6res%,System Core C-States.3_C6res%,0.2099047902467383,0.2099047902467383,1.0,0.2099047902467383,stable_rank_precision
A,Core3 (Socket 0).15_C7res%,SKT0 Core C-State.4_C7res%,0.20523321375037384,0.20523321375037384,1.0,0.20523321375037384,stable_rank_precision
A,Core3 (Socket 0).15_C7res%,System Core C-States.4_C7res%,0.20523321375037423,0.20523321375037423,1.0,0.20523321375037423,stable_rank_precision
